Date,Open,High,Low,Close,Adj Close,Volume,Name
26-04-2019,192.5,192.899994,189.089996,191.490005,191.490005,22075000,FB
26-04-2019,1269,1273.069946,1260.319946,1272.180054,1272.180054,1241400,GOOG
26-04-2019,368.350006,375.140015,366.23999,374.850006,374.850006,5621900,NFLX
26-04-2019,246.5,246.679993,231.130005,235.139999,235.139999,22360700,TSLA
25-04-2019,206.830002,207.759995,205.119995,205.279999,204.492508,18543200,AAPL
25-04-2019,1917,1922.449951,1900.310059,1902.25,1902.25,6099100,AMZN
25-04-2019,196.979996,198.479996,192.119995,193.259995,193.259995,54148800,FB
25-04-2019,1264.77002,1267.407959,1252.030029,1263.449951,1263.449951,1107300,GOOG
25-04-2019,374.48999,374.76001,365.700012,368.329987,368.329987,6255500,NFLX
25-04-2019,255,259,246.070007,247.630005,247.630005,21849400,TSLA
24-04-2019,207.360001,208.479996,207.050003,207.160004,206.365295,17540600,AAPL
24-04-2019,1925,1929.689941,1898.160034,1901.75,1901.75,3675800,AMZN
24-04-2019,184.490005,185.139999,181.649994,182.580002,182.580002,37289900,FB
24-04-2019,1264.119995,1268.01001,1255,1256,1256,1018800,GOOG
24-04-2019,381.070007,381.899994,373.269989,374.230011,374.230011,6541900,NFLX
24-04-2019,263.850006,265.320007,258,258.660004,258.660004,10727500,TSLA
23-04-2019,204.429993,207.75,203.899994,207.479996,206.684052,23323000,AAPL
23-04-2019,1891.199951,1929.26001,1889.579956,1923.77002,1923.77002,4640400,AMZN
23-04-2019,182.740005,184.220001,181.479996,183.779999,183.779999,19954800,FB
23-04-2019,1250.689941,1269,1246.380005,1264.550049,1264.550049,1319900,GOOG
23-04-2019,375.450012,384.799988,374.709991,381.890015,381.890015,10089800,NFLX
23-04-2019,260.149994,265.600006,255.75,263.899994,263.899994,10943900,TSLA
22-04-2019,202.830002,204.940002,202.339996,204.529999,203.745377,19439500,AAPL
22-04-2019,1855.400024,1888.420044,1845.640015,1887.310059,1887.310059,3373800,AMZN
22-04-2019,178.25,181.669998,178.25,181.440002,181.440002,13389900,FB
22-04-2019,1235.98999,1249.089966,1228.310059,1248.839966,1248.839966,807300,GOOG
22-04-2019,359.700012,377.690002,359,377.339996,377.339996,11980500,NFLX
22-04-2019,269,269.679993,262.480011,262.75,262.75,12147100,TSLA
18-04-2019,203.119995,204.149994,202.520004,203.860001,203.077957,24195800,AAPL
18-04-2019,1868.790039,1870.819946,1859.47998,1861.689941,1861.689941,2749900,AMZN
18-04-2019,178.800003,178.880005,177.339996,178.279999,178.279999,11655600,FB
18-04-2019,1239.180054,1242,1234.609985,1236.369995,1236.369995,1331800,GOOG
18-04-2019,355,360.410004,351.640015,360.350006,360.350006,8353200,NFLX
18-04-2019,271.230011,274.839996,269.75,273.26001,273.26001,5876300,TSLA
17-04-2019,199.539993,203.380005,198.610001,203.130005,202.350754,28906800,AAPL
17-04-2019,1872.98999,1876.469971,1860.439941,1864.819946,1864.819946,2893500,AMZN
17-04-2019,179.600006,180.740005,178.360001,178.779999,178.779999,9973700,FB
17-04-2019,1233,1240.560059,1227.819946,1236.339966,1236.339966,1221900,GOOG
17-04-2019,365.049988,368.76001,350.600006,354.73999,354.73999,18054100,NFLX
17-04-2019,274.75,274.790009,268.540009,271.230011,271.230011,5126500,TSLA
16-04-2019,199.460007,201.369995,198.559998,199.25,198.485641,25696400,AAPL
16-04-2019,1851.349976,1869.77002,1848,1863.040039,1863.040039,3044600,AMZN
16-04-2019,179,180.169998,178.300003,178.869995,178.869995,11215200,FB
16-04-2019,1225,1230.819946,1220.119995,1227.130005,1227.130005,856300,GOOG
16-04-2019,355,364.480011,352.720001,359.459991,359.459991,18740200,NFLX
16-04-2019,265.75,275,264.720001,273.359985,273.359985,7272900,TSLA
15-04-2019,198.580002,199.850006,198.009995,199.229996,198.465714,17536600,AAPL
15-04-2019,1842,1846.849976,1818.900024,1844.869995,1844.869995,3724400,AMZN
